,x_a,x_b,y_a,y_b,Gmix,Hull_Gmix
330,0.5416583333333334,0.45834166666666665,0.20839166666666664,0.7916083333333332,3.1666818949864854,-6.990885509838366
331,0.5416583333333334,0.45834166666666665,0.25005,0.74995,2.958727846894181,-7.404842273664271
332,0.5416583333333334,0.45834166666666665,0.2917083333333333,0.7082916666666667,2.7502950634167576,-7.7228299850977145
333,0.5416583333333334,0.45834166666666665,0.33336666666666664,0.6666333333333333,2.3379319163838197,-7.9635242023526835
334,0.5416583333333334,0.45834166666666665,0.375025,0.624975,1.9900055992753352,-8.139781589683178
335,0.5416583333333334,0.45834166666666665,0.4166833333333333,0.5833166666666666,1.6977168514145724,-8.260401407765952
336,0.5416583333333334,0.45834166666666665,0.45834166666666665,0.5416583333333334,1.4553254053814477,-8.331123924021082
337,0.5416583333333334,0.45834166666666665,0.5,0.5,1.2595818380410542,-8.355198561583485
338,0.5416583333333334,0.45834166666666665,0.5416583333333334,0.45834166666666665,1.1094334049879073,-8.33367806485864
339,0.5416583333333334,0.45834166666666665,0.5833166666666666,0.4166833333333333,1.0059328506274952,-8.265509689441084
340,0.5416583333333334,0.45834166666666665,0.624975,0.375025,0.9523295980947175,-8.147444012195859
341,0.5416583333333334,0.45834166666666665,0.6666333333333333,0.33336666666666664,0.9543639148096688,-7.973740765702932
342,0.5416583333333334,0.45834166666666665,0.7082916666666667,0.2917083333333333,1.0208350614490769,-7.735600689285535
343,0.5416583333333334,0.45834166666666665,0.74995,0.25005,1.1645997022669725,-7.420167118689642
344,0.5416583333333334,0.45834166666666665,0.7916083333333332,0.20839166666666664,1.4043333954773232,-7.008764495701309
345,0.5416583333333334,0.45834166666666665,0.8332666666666666,0.16673333333333332,1.7678127854161048,-6.473616175984537
346,0.5416583333333334,0.45834166666666665,0.874925,0.125075,2.2986769394092974,-5.771083092213369
347,0.5416583333333334,0.45834166666666665,0.9165833333333333,0.08341666666666667,3.07286494505286,-4.825226156791805
348,0.5416583333333334,0.45834166666666665,0.9582416666666667,0.041758333333333335,4.2527061802924315,-3.473715991774263
349,0.5416583333333334,0.45834166666666665,0.9999,0.0001,6.198945147019865,-0.9568198924053353
350,0.5833166666666666,0.4166833333333333,0.0001,0.9999,8.683039237833093,-0.9072292243073807
351,0.5833166666666666,0.4166833333333333,0.041758333333333335,0.9582416666666667,6.473207642601999,-3.428116332826663
352,0.5833166666666666,0.4166833333333333,0.08341666666666667,0.9165833333333333,5.153064895028553,-4.783617506994558
353,0.5833166666666666,0.4166833333333333,0.125075,0.874925,4.048714913656443,-5.733465451566474
354,0.5833166666666666,0.4166833333333333,0.16673333333333332,0.8332666666666666,3.1876887839347283,-6.439989544488003
355,0.5833166666666666,0.4166833333333333,0.20839166666666664,0.7916083333333332,2.494047418267421,-6.979128873355117
356,0.5833166666666666,0.4166833333333333,0.25005,0.74995,1.9241517493285514,-7.394522505493812
357,0.5833166666666666,0.4166833333333333,0.2917083333333333,0.7082916666666667,1.4502251327821192,-7.713947085240044
358,0.5833166666666666,0.4166833333333333,0.33336666666666664,0.6666333333333333,1.0535920104141852,-7.956078170807801
359,0.5833166666666666,0.4166833333333333,0.375025,0.624975,0.7213957179707116,-8.133772426451085
360,0.5833166666666666,0.4166833333333333,0.4166833333333333,0.5833166666666666,0.4448369947749491,-8.255829112846648
361,0.5833166666666666,0.4166833333333333,0.45834166666666665,0.5416583333333334,0.21817557340685312,-8.32798849741457
362,0.5833166666666666,0.4166833333333333,0.5,0.5,0.038162030731466956,-8.35350000328976
363,0.5833166666666666,0.4166833333333333,0.5416583333333334,0.45834166666666665,-0.0962563776566725,-8.333416374877704
364,0.5833166666666666,0.4166833333333333,0.5833166666666666,0.4166833333333333,-0.18402690735208083,-8.266684867772936
365,0.5833166666666666,0.4166833333333333,0.624975,0.375025,-0.22190013521985108,-8.150056058840502
366,0.5833166666666666,0.4166833333333333,0.6666333333333333,0.33336666666666664,-0.20413579383988534,-7.977789680660363
367,0.5833166666666666,0.4166833333333333,0.7082916666666667,0.2917083333333333,-0.12193462253548049,-7.741086472555754
368,0.5833166666666666,0.4166833333333333,0.74995,0.25005,0.037560042947436756,-7.427089770272651
369,0.5833166666666666,0.4166833333333333,0.7916083333333332,0.20839166666666664,0.2930237608228019,-7.017124015597105
370,0.5833166666666666,0.4166833333333333,0.8332666666666666,0.16673333333333332,0.6722331754265838,-6.483412564193124
371,0.5833166666666666,0.4166833333333333,0.874925,0.125075,1.2188273540847803,-5.782316348734745
372,0.5833166666666666,0.4166833333333333,0.9165833333333333,0.08341666666666667,2.008745384393375,-4.837896281625969
373,0.5833166666666666,0.4166833333333333,0.9582416666666667,0.041758333333333335,3.2043166442979363,-3.4878229849212166
374,0.5833166666666666,0.4166833333333333,0.9999,0.0001,5.565273838553878,-0.9723637538650776
375,0.624975,0.375025,0.0001,0.9999,7.943466115131805,-0.8882882462601867
376,0.624975,0.375025,0.041758333333333335,0.9582416666666667,5.283806994477352,-3.410612223092258
377,0.624975,0.375025,0.08341666666666667,0.9165833333333333,3.78953380817428,-4.767550265572943
378,0.624975,0.375025,0.125075,0.874925,2.700913851467181,-5.718835078457646
379,0.624975,0.375025,0.16673333333333332,0.8332666666666666,1.8556177464104806,-6.426796039691965
380,0.624975,0.375025,0.20839166666666664,0.7916083333333332,1.177706405408177,-6.967372236871869
381,0.624975,0.375025,0.25005,0.74995,0.6235407611343078,-7.384202737323353
382,0.624975,0.375025,0.2917083333333333,0.7082916666666667,0.16534416925288653,-7.705064185382373
383,0.624975,0.375025,0.33336666666666664,0.6666333333333333,-0.215558928450033,-7.948632139262921
